번호,영화명,개봉일,전국관객수,서울관객수,개봉연도,관객수기준,장르,kmdb제목,kmdb장르
1,명량,2014-07-30,"17,613,682","4,163,666",2014,17613682,사극,명량,시대극/사극|액션|전기
2,극한직업,2019-01-23,"16,264,944","3,638,287",2019,16264944,코미디,극한직업,코메디
3,신과함께-죄와 벌,2017-12-20,"14,410,754","3,346,172",2017,14410754,판타지,신과함께-죄와 벌,드라마|판타지
4,국제시장,2014-12-17,"14,265,309","3,233,946",2014,14265309,드라마,국제시장,드라마
5,베테랑,2015-08-05,"13,395,400","3,290,366",2015,13395400,액션,베테랑,드라마|액션
6,괴물,2006-07-27,"13,019,740","3,571,254",2006,13019740,SF,괴물,드라마|SF|가족
7,도둑들,2012-07-25,"12,983,330","3,468,906",2012,12983330,액션,도둑들,드라마|액션
8,7번방의 선물,2013-01-23,"12,811,206","3,070,053",2013,12811206,코미디,7번방의 선물,드라마|코메디
9,암살,2015-07-22,"12,705,700","3,155,960",2015,12705700,액션,암살,액션|드라마
10,범죄도시2,2022-05-18,"12,692,959","2,755,760",2022,12692959,범죄,범죄도시2,범죄|액션
11,"광해, 왕이 된 남자",2012-09-13,"12,319,542","3,355,700",2012,12319542,사극,"광해, 왕이 된 남자",드라마|시대극/사극
12,왕의 남자,2005-12-29,"12,302,831","3,660,842",2005,12302831,드라마,왕의 남자,드라마
13,신과함께-인과 연,2018-08-01,"12,253,247","2,636,542",2018,12253247,판타지,신과함께-인과 연,판타지|드라마
14,택시운전사,2017-08-02,"12,099,971","2,729,932",2017,12099971,드라마,택시운전사,드라마|사회물(경향)
15,태극기 휘날리며,2004-02-05,"11,746,135","3,509,563",2004,11746135,전쟁,태극기 휘날리며,드라마|반공/분단|전쟁
16,부산행,2016-07-20,"11,565,078","2,754,686",2016,11565078,액션,부산행,액션|스릴러|재난
17,해운대,2009-07-22,"11,453,338","2,791,508",2009,11453338,액션,해운대,액션|드라마|재난|어드벤처
18,변호인,2013-12-18,"11,372,451","2,978,688",2013,11372451,드라마,변호인,드라마
19,실미도,2003-12-24,"11,081,000","3,264,000",2003,11081000,전쟁,실미도,드라마|첩보|군사|반공/분단|전쟁
20,범죄도시3,2023-05-31,"10,682,822","2,215,435",2023,10682822,범죄,범죄도시3,범죄|액션
21,기생충,2019-05-30,"10,313,086","2,790,209",2019,10313086,드라마,기생충,드라마
22,검사외전,2016-02-03,"9,699,092","2,219,587",2016,9699092,범죄,검사외전,드라마|액션|코메디|범죄
23,엑시트,2019-07-31,"9,426,051","2,132,869",2019,9426051,코미디,엑시트,액션|코메디
24,관상,2013-09-11,"9,134,586","2,561,744",2013,9134586,사극,관상,드라마|시대극/사극
25,설국열차,2013-08-01,"8,914,845","2,550,437",2013,8914845,SF,설국열차,액션|SF|스릴러|어드벤처
26,수상한 그녀,2014-01-22,"8,656,397","2,042,110",2014,8656397,드라마,수상한 그녀,드라마|코메디
27,해적: 바다로 간 산적,2014-08-06,"8,646,758","1,868,694",2014,8646758,어드벤처,해적: 바다로 간 산적,액션|어드벤처
28,국가대표,2009-07-29,"8,487,894","2,213,346",2009,8487894,드라마,국가대표,드라마|스포츠|액션|코메디
29,디워,2007-08-01,"8,426,973","2,098,438",2007,8426973,액션,디 워,액션|코메디|판타지
30,백두산,2019-12-19,"8,252,669","1,724,785",2019,8252669,어드벤처,백두산,액션|드라마|어드벤처|반공/분단
31,과속스캔들,2008-12-03,"8,245,523","2,390,408",2008,8245523,코미디,과속스캔들,코메디|드라마|뮤직
32,웰컴 투 동막골,2005-08-04,"8,008,622","2,435,088",2005,8008622,전쟁,웰컴 투 동막골,드라마|전쟁
33,공조,2017-01-18,"7,817,446","1,744,624",2017,7817446,액션,공조,액션|드라마
34,히말라야,2015-12-16,"7,759,473","1,738,016",2015,7759473,드라마,히말라야,드라마
35,서울의 봄,2023-11-22,"7,551,272","682,129",2023,7551272,드라마,서울의 봄,드라마
36,밀정,2016-09-07,"7,487,545","1,827,424",2016,7487545,액션,밀정,드라마|역사
37,최종병기 활,2011-08-10,"7,466,976","2,059,847",2011,7466976,사극,최종병기 활,시대극/사극|액션|전쟁
38,써니,2011-05-04,"7,328,820","2,004,824",2011,7328820,드라마,써니,드라마|코메디
39,화려한 휴가,2007-07-25,"7,307,993","2,009,666",2007,7307993,드라마,화려한 휴가,드라마
40,한산: 용의 출현,2022-07-27,"7,265,624","1,513,672",2022,7265624,액션,한산: 용의 출현,액션|드라마|전쟁|시대극/사극
41,1987,2017-12-27,"7,231,638","1,776,877",2017,7231638,드라마,1987,드라마
42,베를린,2013-01-30,"7,166,199","2,118,794",2013,7166199,액션,베를린,액션
43,마스터,2016-12-21,"7,150,541","1,731,940",2016,7150541,액션,마스터,액션|범죄
44,터널,2016-08-10,"7,118,592","1,675,010",2016,7118592,드라마,터널,드라마
45,내부자들,2015-11-19,"7,071,763","1,972,885",2015,7071763,범죄,내부자들,드라마|범죄
46,인천상륙작전,2016-07-27,"7,049,643","1,427,944",2016,7049643,전쟁,인천상륙작전,드라마|첩보|전쟁
47,공조2: 인터내셔날,2022-09-07,"6,979,319","1,444,987",2022,6979319,액션,공조2: 인터내셔날,액션|코메디
48,럭키,2016-10-13,"6,965,706","1,640,015",2016,6965706,코미디,럭키,코메디|드라마
49,은밀하게 위대하게,2013-06-05,"6,953,800","1,691,014",2013,6953800,액션,은밀하게 위대하게,액션|드라마|코메디
50,곡성,2016-05-12,"6,878,264","1,829,923",2016,6878264,미스터리,곡성,드라마|미스터리|스릴러
51,범죄도시,2017-10-03,"6,851,297","1,670,254",2017,6851297,범죄,범죄도시,범죄|액션
52,타짜,2006-09-28,"6,847,777","2,091,058",2006,6847777,드라마,타짜,드라마
53,"좋은 놈, 나쁜 놈, 이상한 놈",2008-07-17,"6,686,912","2,012,173",2008,6686912,서부극(웨스턴),"좋은 놈, 나쁜 놈, 이상한 놈",액션|서부|활극|어드벤처
54,늑대소년,2012-10-31,"6,654,837","1,677,173",2012,6654837,멜로/로맨스,늑대소년,드라마|멜로/로맨스|판타지
55,미녀는 괴로워,2006-12-14,"6,619,498","1,934,910",2006,6619498,멜로/로맨스,미녀는 괴로워,코메디|멜로드라마
56,군함도,2017-07-26,"6,592,151","1,398,649",2017,6592151,액션,군함도,드라마|액션
57,아저씨,2010-08-04,"6,282,774","1,863,328",2010,6282774,액션,아저씨,액션|드라마
58,사도,2015-09-16,"6,246,849","1,606,486",2015,6246849,사극,사도,드라마|시대극/사극
59,전우치,2009-12-23,"6,136,928","1,684,123",2009,6136928,액션,전우치,액션|코메디|판타지
60,투사부일체,2006-01-19,"6,105,431","1,502,821",2006,6105431,코미디,투사부일체(두사부일체 2),액션|코메디
61,연평해전,2015-06-24,"6,043,458","1,265,879",2015,6043458,드라마,연평해전,전쟁|드라마
62,청년경찰,2017-08-09,"5,636,259","1,207,318",2017,5636259,액션,청년경찰,액션
63,가문의 위기(가문의 영광2),2005-09-07,"5,635,266","1,451,468",2005,5635266,코미디,가문의 위기 - 가문의 영광 2,코메디
64,숨바꼭질,2013-08-14,"5,602,543","1,356,936",2013,5602543,스릴러,숨바꼭질,스릴러
65,덕혜옹주,2016-08-03,"5,593,551","1,304,324",2016,5593551,사극,덕혜옹주,시대극/사극|드라마
66,더 테러 라이브,2013-07-31,"5,583,596","1,525,130",2013,5583596,범죄,더 테러 라이브,드라마|스릴러|범죄
67,의형제,2010-02-04,"5,507,106","1,563,042",2010,5507106,드라마,의형제,액션|드라마
68,감시자들,2013-07-03,"5,496,547","1,477,594",2013,5496547,범죄,감시자들,액션|범죄|스릴러
69,안시성,2018-09-19,"5,441,131","1,146,191",2018,5441131,사극,안시성,시대극/사극|액션
70,검은 사제들,2015-11-05,"5,440,945","1,428,491",2015,5440945,미스터리,검은 사제들,미스터리|드라마
71,더 킹,2017-01-18,"5,316,325","1,318,493",2017,5316325,범죄,더 킹,범죄|드라마
72,완득이,2011-10-20,"5,310,510","1,525,277",2011,5310510,드라마,완득이,드라마
73,완벽한 타인,2018-10-31,"5,294,119","1,373,292",2018,5294119,드라마,완벽한 타인,드라마|코메디
74,살인의 추억,2003-04-25,"5,255,376","1,912,715",2003,5255376,스릴러,살인의 추억,드라마|범죄|미스터리|스릴러
75,타워,2012-12-25,"5,181,014","1,186,378",2012,5181014,드라마,타워,드라마
76,말아톤,2005-01-27,"5,148,022","1,552,548",2005,5148022,드라마,말아톤,드라마|스포츠
77,밀수,2023-07-26,"5,143,219","1,082,158",2023,5143219,액션,밀수,범죄
78,추격자,2008-02-14,"5,071,619","1,662,668",2008,5071619,범죄,추격자,액션|범죄|스릴러
79,독전,2018-05-22,"5,063,620","1,201,461",2018,5063620,범죄,독전,범죄|액션
80,공작,2018-08-08,"4,971,261","1,158,151",2018,4971261,드라마,공작,드라마
81,동갑내기 과외하기,2003-02-07,"4,937,573","1,587,975",2003,4937573,코미디,동갑내기 과외하기,코메디|드라마
82,바람과 함께 사라지다,2012-08-08,"4,897,551","1,122,802",2012,4897551,코미디,바람과 함께 사라지다,액션|코메디
83,"님아, 그 강을 건너지 마오",2014-11-27,"4,801,355","1,140,795",2014,4801355,다큐멘터리,"님아, 그 강을 건너지 마오",인물
84,봉오동 전투,2019-08-07,"4,788,118","891,383",2019,4788118,사극,봉오동 전투,액션|드라마|시대극/사극|전쟁
85,조선명탐정 : 각시투구꽃의 비밀,2011-01-27,"4,786,259","1,363,857",2011,4786259,코미디,조선명탐정: 각시투구꽃의 비밀,코메디|미스터리
86,군도: 민란의 시대,2014-07-23,"4,774,895","1,239,945",2014,4774895,사극,군도:민란의 시대,드라마|액션
87,남산의 부장들,2020-01-22,"4,750,104","1,113,402",2020,4750104,드라마,남산의 부장들,드라마|액션
88,범죄와의 전쟁: 나쁜놈들 전성시대,2012-02-02,"4,710,454","1,451,900",2012,4710454,범죄,범죄와의 전쟁 : 나쁜놈들 전성시대,드라마|범죄
