번호,영화명,개봉일,전국관객수,서울관객수,개봉연도,관객수기준,장르,kmdb제목,kmdb장르
1,어벤져스: 엔드게임,2019-04-24,"13,934,592","3,597,963",2019,13934592,액션,어벤져스: 엔드게임,액션|SF
2,겨울왕국 2,2019-11-21,"13,768,686","3,225,974",2019,13768686,애니메이션,겨울왕국 2,어드벤처|코메디|가족|판타지|뮤지컬
3,아바타,2009-12-17,"13,624,328","3,993,374",2009,13624328,SF,아바타,액션|SF|어드벤처
4,알라딘,2019-05-23,"12,555,894","3,377,404",2019,12555894,어드벤처,알라딘,어드벤처|가족|판타지|뮤지컬|멜로드라마
5,어벤져스: 인피니티 워,2018-04-25,"11,211,880","3,008,819",2018,11211880,액션,어벤져스: 인피니티 워,액션|어드벤처|판타지
6,아바타: 물의 길,2022-12-14,"10,805,065","2,623,216",2022,10805065,액션,아바타: 물의 길,액션|어드벤처|SF|스릴러|판타지
7,어벤져스: 에이지 오브 울트론,2015-04-23,"10,494,499","2,823,388",2015,10494499,액션,어벤져스: 에이지 오브 울트론,SF|액션|판타지
8,겨울왕국,2014-01-16,"10,328,426","3,003,446",2014,10328426,애니메이션,겨울왕국,코메디|가족|어드벤처|판타지
9,인터스텔라,2014-11-06,"10,273,803","3,079,036",2014,10273803,SF,인터스텔라,SF
10,보헤미안 랩소디,2018-10-31,"9,948,386","3,097,336",2018,9948386,드라마,보헤미안 랩소디,드라마
11,아이언맨 3,2013-04-25,"9,001,309","2,595,269",2013,9001309,액션,아이언 맨 3,액션|SF|어드벤처
12,캡틴 아메리카: 시빌 워,2016-04-27,"8,677,249","2,400,069",2016,8677249,액션,캡틴 아메리카: 시빌 워,액션|SF|스릴러
13,탑건: 매버릭,2022-06-22,"8,177,446","2,309,600",2022,8177446,액션,탑건: 매버릭,액션
14,스파이더맨: 파 프롬 홈,2019-07-02,"8,020,208","2,051,196",2019,8020208,액션,스파이더맨: 파 프롬 홈,어드벤처|코메디|SF|액션|판타지
15,트랜스포머 3,2011-06-29,"7,784,807","2,143,018",2011,7784807,액션,트랜스포머 3,액션|SF|어드벤처
16,미션임파서블:고스트프로토콜,2011-12-15,"7,575,899","2,347,164",2011,7575899,액션,미션 임파서블: 고스트 프로토콜,액션
17,스파이더맨: 노 웨이 홈,2021-12-15,"7,551,990","2,041,418",2021,7551990,액션,스파이더맨: 노 웨이 홈,액션|어드벤처|SF
18,트랜스포머: 패자의 역습,2009-06-24,"7,505,700","2,200,557",2009,7505700,SF,트랜스포머: 패자의 역습,액션|SF|어드벤처
19,트랜스포머,2007-06-28,"7,440,531","2,300,866",2007,7440531,SF,트랜스포머,액션|SF|어드벤처
20,스파이더맨: 홈 커밍,2017-07-05,"7,257,973","1,969,107",2017,7257973,액션,스파이더맨: 홈 커밍,액션|SF|어드벤처
21,엘리멘탈,2023-06-14,"7,238,021","1,882,336",2023,7238021,애니메이션,엘리멘탈,어드벤처|판타지|SF
22,어벤져스,2012-04-26,"7,074,867","2,147,619",2012,7074867,액션,어벤져스,액션|SF|어드벤처
23,미션 임파서블: 폴아웃,2018-07-25,"6,584,915","1,686,255",2018,6584915,액션,미션 임파서블: 폴아웃,액션|스릴러
24,다크 나이트 라이즈,2012-07-19,"6,396,528","2,057,529",2012,6396528,액션,다크 나이트 라이즈,액션|범죄|스릴러
25,미션 임파서블: 로그네이션,2015-07-30,"6,126,488","1,669,524",2015,6126488,액션,미션 임파서블: 로그네이션,액션
26,킹스맨 : 시크릿 에이전트,2015-02-11,"6,125,154","1,968,882",2015,6125154,액션,킹스맨: 시크릿 에이전트,액션|코메디|어드벤처
27,반지의 제왕 : 왕의 귀환,2003-12-17,"5,960,000","1,905,567",2003,5960000,판타지,반지의 제왕: 왕의 귀환,액션|드라마|어드벤처|판타지|전쟁
28,인셉션,2010-07-21,"5,926,948","2,026,998",2010,5926948,드라마,인셉션,SF|미스터리|스릴러
29,레미제라블,2012-12-19,"5,911,890","2,190,090",2012,5911890,드라마,레미제라블,드라마
30,닥터 스트레인지: 대혼돈의 멀티버스,2022-05-04,"5,884,587","1,610,656",2022,5884587,액션,닥터 스트레인지: 대혼돈의 멀티버스,액션|판타지|어드벤처
31,캡틴 마블,2019-03-06,"5,801,069","1,650,932",2019,5801069,액션,캡틴 마블,액션|어드벤처|SF
32,미션 임파서블 3,2006-05-03,"5,740,789","1,584,202",2006,5740789,액션,미션 임파서블 3,액션
33,쥬라기 월드: 폴른 킹덤,2018-06-06,"5,661,128","1,342,621",2018,5661128,액션,쥬라기 월드: 폴른 킹덤,SF|액션|어드벤처
34,스즈메의 문단속,2023-03-08,"5,573,669","1,351,471",2023,5573669,애니메이션,스즈메의 문단속,액션|어드벤처|판타지
