번호,kmdb제목,kmdb장르,개봉연도,관객수,movie_id,movie_seq
K1,명량,시대극/사극|액션|전기,2014,17613682,K,13963
K2,극한직업,코메디,2019,16264944,K,18606
K3,신과함께-죄와 벌,드라마|판타지,2017,14410754,K,16244
K4,국제시장,드라마,2014,14265309,K,14109
K5,베테랑,드라마|액션,2015,13395400,K,14173
K6,괴물,드라마|SF|가족,2006,13019740,K,07273
K7,도둑들,드라마|액션,2012,12983330,K,13031
K8,7번방의 선물,드라마|코메디,2013,12811206,K,13368
K9,암살,액션|드라마,2015,12705700,K,14409
K10,범죄도시2,범죄|액션,2022,12692959,K,28220
K11,"광해, 왕이 된 남자",드라마|시대극/사극,2012,12319542,K,13229
K12,왕의 남자,드라마,2005,12302831,K,06750
K13,신과함께-인과 연,판타지|드라마,2018,12253247,K,17404
K14,택시운전사,드라마|사회물(경향),2017,12099971,K,16150
K15,태극기 휘날리며,드라마|반공/분단|전쟁,2004,11746135,K,06113
K16,부산행,액션|스릴러|재난,2016,11565078,K,14687
K17,해운대,액션|드라마|재난|어드벤처,2009,11453338,K,10097
K18,변호인,드라마,2013,11372451,K,13977
K19,실미도,드라마|첩보|군사|반공/분단|전쟁,2003,11081000,K,06076
K35,서울의 봄,드라마,2023,11003138,K,35416
K20,범죄도시3,범죄|액션,2023,10682822,K,34410
K21,기생충,드라마,2019,10313086,K,17748
K22,검사외전,드라마|액션|코메디|범죄,2016,9699092,K,15172
K23,엑시트,액션|코메디,2019,9426051,K,20773
K24,관상,드라마|시대극/사극,2013,9134586,K,13400
K25,설국열차,액션|SF|스릴러|어드벤처,2013,8914845,K,13349
K26,수상한 그녀,드라마|코메디,2014,8656397,K,14056
K27,해적: 바다로 간 산적,액션|어드벤처,2014,8646758,K,13930
K28,국가대표,드라마|스포츠|액션|코메디,2009,8487894,K,10130
K29,디 워,액션|코메디|판타지,2007,8426973,K,08920
K30,백두산,액션|드라마|어드벤처|반공/분단,2019,8252669,K,21548
K31,과속스캔들,코메디|드라마|뮤직,2008,8245523,K,09869
K32,웰컴 투 동막골,드라마|전쟁,2005,8008622,K,06630
K33,공조,액션|드라마,2017,7817446,K,16047
K34,히말라야,드라마,2015,7759473,K,15067
K36,밀정,드라마|역사,2016,7487545,K,15369
K37,최종병기 활,시대극/사극|액션|전쟁,2011,7466976,K,12764
K38,써니,드라마|코메디,2011,7328820,K,12657
K39,화려한 휴가,드라마,2007,7307993,K,08353
K40,한산: 용의 출현,액션|드라마|전쟁|시대극/사극,2022,7265624,K,22551
K41,1987,드라마,2017,7231638,K,16659
K42,베를린,액션,2013,7166199,K,13367
K43,마스터,액션|범죄,2016,7150541,K,15797
K44,터널,드라마,2016,7118592,K,15349
K45,내부자들,드라마|범죄,2015,7071763,K,14347
K46,인천상륙작전,드라마|첩보|전쟁,2016,7049643,K,15318
K47,공조2: 인터내셔날,액션|코메디,2022,6979319,K,28954
K48,럭키,코메디|드라마,2016,6965706,K,15711
K49,은밀하게 위대하게,액션|드라마|코메디,2013,6953800,K,13499
K50,곡성,드라마|미스터리|스릴러,2016,6878264,K,14385
K51,범죄도시,범죄|액션,2017,6851297,K,16540
K52,타짜,드라마,2006,6847777,K,07435
K53,"좋은 놈, 나쁜 놈, 이상한 놈",액션|서부|활극|어드벤처,2008,6686912,K,09499
K54,늑대소년,드라마|멜로/로맨스|판타지,2012,6654837,K,13218
K55,미녀는 괴로워,코메디|멜로드라마,2006,6619498,K,07534
K56,군함도,드라마|액션,2017,6592151,K,16123
K57,아저씨,액션|드라마,2010,6282774,K,12273
K58,사도,드라마|시대극/사극,2015,6246849,K,14266
K59,전우치,액션|코메디|판타지,2009,6136928,K,10269
K60,투사부일체(두사부일체 2),액션|코메디,2006,6105431,K,06761
K61,연평해전,전쟁|드라마,2015,6043458,K,14329
